filename,label
Match_20250422_152647_serve020745_score021183_L12_R11_觸球.mp4,觸球
Match_20250422_153615_serve034442_score034895_L21_R18_界內球.mp4,界內球
Match_20250422_153312_serve029787_score030286_L18_R16_界內球.mp4,界內球
Match_20250422_152248_serve014002_score015413_L9_R9_界內球.mp4,界內球
Match_20250422_154256_serve043521_score044363_L29_R18_界內球.mp4,界內球
Match_20250422_152127_serve012853_score013531_L8_R8_觸球遮擋停止.mp4,觸球遮擋停止
Match_20250422_154450_serve046691_score046963_L31_R19_結束.mp4,結束
Match_20250422_151905_serve009688_score010148_L5_R7_界內球.mp4,界內球
Match_20250422_153344_serve030579_score031037_L18_R17_界內球.mp4,界內球
Match_20250422_152404_serve016093_score017181_L10_R9_界內球.mp4,界內球
Match_20250422_151606_serve005400_score005896_L3_R4_觸球.mp4,觸球
Match_20250422_152431_serve017551_score017684_L11_R9_摳鼻子.mp4,摳鼻子
Match_20250422_151942_serve010485_score011056_L6_R7_界內球.mp4,界內球
Match_20250422_153854_serve038194_score038793_L25_R18_界內球.mp4,界內球
Match_20250422_152149_serve013724_score013980_L9_R8_遮擋問題.mp4,遮擋問題
Match_20250422_154212_serve042022_score043469_L28_R18_觸球.mp4,觸球
Match_20250422_151719_serve007059_score007607_L4_R5_界內球.mp4,界內球
Match_20250422_151253_serve000601_score001346_L1_R0_界內球.mp4,界內球
Match_20250422_152715_serve021462_score021835_L13_R11_界內球.mp4,界內球
Match_20250422_152014_serve011326_score011773_L6_R8_界內球.mp4,界內球
Match_20250422_152045_serve011990_score012522_L7_R8_界內球.mp4,界內球
Match_20250422_152619_serve020042_score020518_L12_R10_界內球.mp4,界內球
Match_20250422_151401_serve002395_score002938_L1_R2_界內球.mp4,界內球
Match_20250422_151431_serve003186_score003644_L1_R3_界內球.mp4,界內球
Match_20250422_153652_serve034955_score035782_L22_R18_界內球.mp4,界內球
Match_20250422_151801_serve008197_score008605_L4_R6_界內球.mp4,界內球
Match_20250422_152858_serve023813_score024314_L14_R13_界內球.mp4,界內球
Match_20250422_153535_serve033674_score033827_L20_R18_界內球.mp4,界內球
Match_20250422_153241_serve029087_score029558_L17_R16_界外球.mp4,界外球
Match_20250422_154050_serve039957_score041594_L27_R18_包含挑戰.mp4,包含挑戰
Match_20250422_154432_serve046069_score046599_L30_R19_界內球.mp4,界內球
Match_20250422_153718_serve036260_score036335_L23_R18_誤判.mp4,誤判
Match_20250422_152823_serve022962_score023502_L14_R12_界內球.mp4,界內球
Match_20250422_153146_serve027732_score028258_L16_R15_觸球.mp4,觸球
Match_20250422_153759_serve036935_score037424_L24_R18_界內球.mp4,界內球
Match_20250422_151329_serve001718_score002179_L1_R1_界內球.mp4,界內球
Match_20250422_153019_serve025109_score026293_L15_R14_其他動作誤判.mp4,其他動作誤判
Match_20250422_151831_serve008905_score009323_L5_R6_界內球.mp4,界內球
Match_20250422_154343_serve044622_score045452_L30_R18_界內球.mp4,界內球
Match_20250422_152748_serve022080_score022676_L14_R11_界內球.mp4,界內球
Match_20250422_152926_serve024595_score024970_L15_R13_手彎到遮擋.mp4,手彎到遮擋
Match_20250422_153213_serve028527_score028864_L17_R15_界內球.mp4,界內球
Match_20250422_152542_serve019173_score019628_L11_R10_界內球.mp4,界內球
Match_20250422_153931_serve039203_score039674_L26_R18_界內球.mp4,界內球
Match_20250422_153111_serve026826_score027464_L16_R14_界內球.mp4,界內球
Match_20250422_153417_serve031325_score031818_L18_R18_界內球.mp4,界內球
Match_20250422_151642_serve006193_score006756_L4_R4_界內球.mp4,界內球
Match_20250422_153519_serve033335_score033433_L19_R18_誤判裁判手摸鼻子.mp4,誤判裁判手摸鼻子
Match_20250422_151501_serve003881_score004363_L2_R3_界內球.mp4,界內球
Match_20250422_151533_serve004653_score005118_L3_R3_界內球.mp4,界內球
